"Player,Pos,Dist.,3P"
"Daniel Oturu\oturuda01,C,5.6,.045"
"Kelly Oubre Jr.\oubreke01,SF,13.1,.395"
"Jabari Parker\parkeja01,PF,13.3,.143"
"Eric Paschall\pascher01,PF,11.2,.176"
"An_ejs Pase__iks\pasecan01,C,25.0,1.000"
"Patrick Patterson\pattepa01,PF,18.4,.656"
"Justin Patton\pattoju01,C,15.0,.486"
"Chris Paul\paulch01,PG,16.9,.299"
"Cameron Payne\payneca01,PG,15.4,.453"
"Elfrid Payton\paytoel01,PG,8.6,.158"
"Norvel Pelle\pelleno01,C,1.3,.000"
"Reggie Perry\perryre01,PF,8.7,.267"
"Theo Pinson\pinsoth01,SG,24.9,.875"
"Mason Plumlee\plumlma01,C,4.5,.024"
"Jakob Poeltl\poeltja01,C,3.7,.000"
"Vincent Poirier\poirivi01,C,8.6,.083"
"Aleksej Pokusevski\pokusal01,PF,18.0,.537"
"Jordan Poole\poolejo01,SG,17.8,.560"
"Jontay Porter\portejo01,PF,24.3,.500"
"Kevin Porter Jr.\porteke02,SG,15.3,.425"
"Michael Porter Jr.\portemi01,SF,15.4,.475"
"Otto Porter\porteot01,SF,17.3,.478"
"Bobby Portis\portibo01,C,12.6,.276"
"Kristaps Porzi__is\porzikr01,C,15.1,.388"
"Dwight Powell\poweldw01,C,6.2,.174"
"Norman Powell\powelno01,SG,14.7,.475"
"Taurean Prince\princta02,PF,16.1,.486"
"Payton Pritchard\pritcpa01,SG,17.8,.546"
"Immanuel Quickley\quickim01,PG,18.4,.513"
"Jahmi'us Ramsey\ramseja01,SG,18.6,.600"
"Chasson Randle\randlch01,PG,18.2,.625"
"Julius Randle\randlju01,PF,13.4,.269"
"Cam Reddish\reddica01,SF,15.1,.479"
"J.J. Redick\redicjj01,SG,22.3,.654"
"Paul Reed\reedpa01,PF,10.1,.167"
"Naz Reid\reidna01,C,9.8,.289"
"Cameron Reynolds\reynoca01,G,8.0,.000"
"Nick Richards\richani01,PF,2.8,.000"
"Josh Richardson\richajo01,SG,16.8,.473"
"Austin Rivers\riverau01,SG,17.0,.570"
"Andre Roberson\roberan03,SG,14.7,.571"
"Duncan Robinson\robindu01,SF,22.8,.857"
"Glenn Robinson III\robingl02,SF,14.2,.444"
"Jerome Robinson\robinje01,SG,17.5,.444"
"Mitchell Robinson\robinmi01,C,1.3,.000"
"Isaiah Roby\robyis01,PF,9.0,.249"
"Rajon Rondo\rondora01,PG,13.4,.409"
"Derrick Rose\rosede01,PG,12.1,.214"
"Terrence Ross\rosste01,SG,18.9,.455"
"Terry Rozier\roziete01,SG,16.9,.527"
"Ricky Rubio\rubiori01,PG,14.1,.383"
"D'Angelo Russell\russeda01,PG,18.2,.454"
"Domantas Sabonis\sabondo01,PF,8.4,.179"
"Luka _amani_\samanlu01,PF,14.9,.521"
"JaKarr Sampson\sampsja02,PF,6.7,.152"
"Dario _ari_\saricda01,C,13.5,.395"
"Tomá_ Satoransk_\satorto01,SG,13.3,.358"
"Dennis Schröder\schrode01,SG,12.0,.255"
"Mike Scott\scottmi01,PF,21.8,.802"
"Collin Sexton\sextoco01,SG,12.0,.241"
"Landry Shamet\shamela01,SG,21.2,.751"
"Iman Shumpert\shumpim01,SG,22.0,.750"
"Pascal Siakam\siakapa01,PF,11.6,.261"
"Chris Silva\silvach01,PF,6.1,.077"
