"Player,Pos,3P,3PA"
"Isaiah Stewart\stewais01,C,0.2,0.4"
"Max Strus\strusma01,SF,1.5,4.1"
"Edmond Sumner\sumneed01,SG,0.6,1.5"
"Jae'Sean Tate\tateja01,SF,0.7,2.3"
"Jayson Tatum\tatumja01,SF,2.8,7.3"
"Jeff Teague\teaguje01,PG,0.8,1.6"
"Garrett Temple\templga01,SG,1.3,3.8"
"Tyrell Terry\terryty01,PG,0.0,0.6"
"Daniel Theis\theisda01,C,0.8,2.3"
"Brodric Thomas\thomabr01,SG,0.5,1.8"
"Matt Thomas\thomama02,SG,0.6,1.6"
"Tristan Thompson\thomptr01,PF,0.0,0.1"
"Sindarius Thornwell\thornsi01,SG,0.2,0.6"
"Matisse Thybulle\thybuma01,SG,0.7,2.1"
"Killian Tillie\tilliki02,C,0.4,1.8"
"Xavier Tillman Sr.\tillmxa01,PF,0.3,1.1"
"Obi Toppin\toppiob01,PF,0.4,1.3"
"Juan Toscano-Anderson\toscaju01,SG,0.7,1.5"
"Axel Toupane\toupaax01,G-F,0.0,0.3"
"Karl-Anthony Towns\townska01,C,2.3,5.8"
"Gary Trent Jr.\trentga02,SG,2.8,7.3"
"P.J. Tucker\tuckepj01,PF,0.8,2.6"
"Rayjon Tucker\tuckera01,F,0.5,0.5"
"Myles Turner\turnemy01,C,1.5,4.4"
"Jonas Valan_i_nas\valanjo01,C,0.3,1.0"
"Denzel Valentine\valende01,SG,1.4,4.3"
"Jarred Vanderbilt\vandeja01,PF,0.0,0.1"
"Fred VanVleet\vanvlfr01,SG,3.4,9.1"
"Devin Vassell\vassede01,SF,0.9,2.3"
"Gabe Vincent\vincega01,PG,1.0,3.5"
"Noah Vonleh\vonleno01,PF,0.0,0.5"
"Nikola Vu_evi_\vucevni01,C,2.6,6.5"
"Dean Wade\wadede01,PF,0.9,2.4"
"Moritz Wagner\wagnemo01,C,0.5,1.7"
"Kemba Walker\walkeke02,PG,2.9,8.0"
"Lonnie Walker\walkelo01,SG,1.7,4.8"
"John Wall\walljo01,PG,2.0,6.1"
"Brad Wanamaker\wanambr01,PG,0.3,1.5"
"T.J. Warren\warretj01,SF,0.0,1.8"
"P.J. Washington\washipj01,PF,1.4,3.6"
"Yuta Watanabe\watanyu01,SF,0.5,1.3"
"Tremont Waters\watertr01,PG,0.5,1.3"
"Paul Watson\watsopa01,SF,0.8,1.8"
"Quinndary Weatherspoon\weathqu01,SG,0.0,0.2"
"Russell Westbrook\westbru01,PG,1.2,4.1"
"Coby White\whiteco01,PG,2.3,6.4"
"Derrick White\whitede01,SG,2.0,6.0"
"Hassan Whiteside\whiteha01,C,0.0,0.0"
"Greg Whittington\whittgr01,PF,0.0,0.5"
"Andrew Wiggins\wiggian01,PF,2.0,5.1"
"Grant Williams\willigr01,PF,0.8,2.0"
"Kenrich Williams\willike04,PF,0.7,1.5"
"Lou Williams\willilo02,PG,1.1,2.8"
"Patrick Williams\willipa01,PF,0.8,2.2"
"Robert Williams\williro04,C,0.0,0.0"
"Zion Williamson\willizi01,PF,0.2,0.5"
"D.J. Wilson\wilsodj01,PF,0.8,2.2"
"Dylan Windler\windldy01,SF,0.8,2.5"
"Justise Winslow\winslju01,SF,0.3,2.6"
"Cassius Winston\winstca01,PG,0.5,1.0"
"James Wiseman\wisemja01,C,0.3,1.0"
"Christian Wood\woodch01,C,1.7,4.5"
"Robert Woodard\woodaro01,SF,0.1,0.5"
"Delon Wright\wrighde01,SG,0.8,2.4"
"Thaddeus Young\youngth01,PF,0.2,0.6"
"Trae Young\youngtr01,PG,2.4,6.8"
"Cody Zeller\zelleco01,C,0.1,0.8"
"Ivica Zubac\zubaciv01,C,0.0,0.1"
